patch,cell,baseline,c0,c1,c2
1,0,2439271,0,6.782088774829227e-07,0
1,1,-431179,0,2.319222411110003e-06,0
1,2,459424,0,1.647202227017411e-05,0
1,3,-3916097,0,2.5535628969353926e-07,0
1,4,-3916260,0,2.553456614218668e-07,0
1,5,-3916187,0,2.553504212132873e-07,0
1,6,-3916472,0,2.553318394718512e-07,0
1,7,-3916421,0,2.5533516442690915e-07,0
1,8,-3916040,0,2.5536000653721614e-07,0
1,9,-3916035,0,2.5536033258129713e-07,0
1,10,-3916114,0,2.553551811821617e-07,0
1,11,-3916188,0,2.553503560094663e-07,0
1,12,3904545,0,0.00011019283746556474,0
1,13,-3916271,0,2.553449442084064e-07,0
1,14,-3916405,0,2.553362075679099e-07,0
1,15,-3916483,0,2.5533112233603464e-07,0
2,0,-531941,0,2.257993862772681e-07,0
2,1,-998582,0,6.324822651972838e-07,0
2,2,-1251892,0,6.704228222655465e-07,0
2,3,-1505011,0,6.644469708194824e-07,0
2,4,-1628149,0,6.141944011266782e-07,0
2,5,-1699911,0,5.882660915777355e-07,0
2,6,-1870130,0,5.347221850887371e-07,0
2,7,-1985631,0,5.036182452832374e-07,0
2,8,-625397,0,1.5989843251566605e-06,0
2,9,24964,0,0.000292654375182909,0
2,10,-622702,0,1.605904589996499e-06,0
2,11,6327,0,0.000315059861373661,0
2,12,20795,0,0.000245398773006135,0
2,13,24367,0,0.00026910656620021526,0
2,14,36494,0,0.00033818058843422386,0
2,15,40207,0,0.0003562522265764161,0
3,0,3236170,0,4.0073735673639494e-05,0
3,1,1402010,0,0.00011042402826855124,0
3,2,308275,0,2.753000770840216e-05,0
3,3,1415068,0,0.00010750376263169211,0
3,4,-1386164,0,7.214153592215639e-07,0
3,5,-206468,0,4.843365557858845e-06,0
3,6,-3667651,0,2.726540775008309e-07,0
3,7,2657748,0,8.186655751125665e-05,0
3,8,-3377981,0,2.9603482079976173e-07,0
3,9,-3519732,0,2.841125403865976e-07,0
3,10,-3511669,0,2.8476487960568037e-07,0
3,11,3520821,0,8.395600705230459e-05,0
3,12,-2353020,0,4.2498576297694025e-07,0
3,13,-1513115,0,6.608882999639816e-07,0
3,14,3542405,0,7.71366862079605e-05,0
3,15,3907468,0,0.00012717792191275595,0
4,0,-3315916,0,1.38362841054026e-07,0
4,1,-3261097,0,1.3941831055958466e-07,0
4,2,-3178052,0,1.410504478210668e-07,0
4,3,-2988102,0,1.449336696567449e-07,0
4,4,-2700767,0,1.5123163802163007e-07,0
4,5,-2547758,0,1.548145546116856e-07,0
4,6,-2453357,0,1.5710933898759371e-07,0
4,7,-2463318,0,1.5686478741605577e-07,0
4,8,-2562117,0,1.5446906818697184e-07,0
4,9,-2682613,0,1.5164722245980288e-07,0
4,10,-2836761,0,1.48183185239058e-07,0
4,11,-2967456,0,1.4536842391409425e-07,0
4,12,-3075393,0,1.4314429030349166e-07,0
4,13,-3145069,0,1.6459851377417973e-07,0
4,14,-3233921,0,1.825909065346364e-07,0
4,15,-3299311,0,2.0380782308176585e-07,0
5,0,-3926761,0,2.5466281242988814e-07,0
5,1,-3926651,0,2.5466994647601733e-07,0
5,2,-3926900,0,2.5465379816139957e-07,0
5,3,-1852722,0,5.397463839691006e-07,0
5,4,-1462128,0,6.839346486764497e-07,0
5,5,1057868,0,0.000143000143000143,0
5,6,3882324,0,9.092562284051645e-05,0
5,7,-578618,0,1.7282559477928442e-06,0
5,8,-2134636,0,4.6846394420407037e-07,0
5,9,-3926815,0,2.546593104080533e-07,0
5,10,-3926818,0,2.5465911585410885e-07,0
5,11,2687952,0,8.845643520566122e-05,0
5,12,-379888,0,2.63235479930927e-06,0
5,13,416399,0,0.00015135462388375965,0
5,14,-331108,0,3.020162605554683e-06,0
5,15,1865700,0,0.00011069293779056896,0
6,0,-3912876,0,2.5556649380149025e-07,0
6,1,-3912876,0,2.5556649380149025e-07,0
6,2,-3913024,0,2.555568276606532e-07,0
6,3,1510969,0,2.346591575736243e-05,0
6,4,3912287,0,0.00015617679212868969,0
6,5,-898300,0,1.1132138483802738e-06,0
6,6,-3913232,0,2.555432440499311e-07,0
6,7,-3913244,0,2.5554246042413915e-07,0
6,8,-3912322,0,2.5560268301024304e-07,0
6,9,-3912950,0,2.5556166063967084e-07,0
6,10,-3913024,0,2.555568276606532e-07,0
6,11,-3913025,0,2.5555676235137775e-07,0
6,12,-3913172,0,2.5554716225098207e-07,0
6,13,-505300,0,1.979022362952701e-06,0
6,14,-3913312,0,2.5553801996876305e-07,0
6,15,-3913320,0,2.555374975723938e-07,0
7,0,-2703284,0,3.6992043751229984e-07,0
