patch,cell,baseline,activated,force
1,0,-71258,-67060,0.9570562776168198
1,1,341015,341013,0.960215998513332
1,2,-32292,25713,0.9587483558436388
1,3,229540,237919,0.9921576036979151
1,4,-42696,-40063,0.977428551334976
1,5,190461,191859,0.9636732463551092
1,6,233574,236144,0.9595089565932009
1,7,-452419,-447897,0.9726579059920111
1,8,-204686,-204877,0.9986466570868734
1,9,-224244,-224044,0.9460175456318757
1,10,343116,343114,0.9545548726517598
1,11,300871,300910,1.001203086550848
1,12,99029,99467,0.9491937868770365
1,13,42835,43674,0.9821197350057798
1,14,-202165,-154183,0.9807037800111744
1,15,468600,468499,0.9579030906187173
