patch,cell,baseline,c0,c1,c2
1,0,-4520,-0.134075168023884,-1.2766210012409857e-05,0
1,1,-2849,-0.15969239647066902,0.00013458148672708422,0
1,2,-18710,0.351704381849954,2.4514084100622414e-05,0
1,3,-105639,0.45369290009201,-1.7245856230504477,0
1,4,-135227,0.073987240693057,-0.01712836276272029,0
1,5,-26146,0.021219043565186,-1.27634698610336e-05,0
1,6,-45045,0.049827972838653,0.28517240035266817,0
1,7,-39299,0.164408864681653,1.61701167330041,0
1,8,291,0.32573945058610804,1.1928641495256802,0
1,9,-638347,1.1312404959303,-1.262964356165723e-05,0
1,10,-11495,-0.063465858087932,-2.34467380156403e-05,0
1,11,-637787,1.17124823641022,-1.2851468393816722e-05,0
1,12,617414,1.09687233402245,3.4691322822650084,0
1,13,-22015,1.25462151738935,-2.3779645347886096e-05,0
1,14,-36818,1.00168709384097,-2.549977894012225e-05,0
1,15,-11497,-0.18731852446292105,3.1122093908952073,0
2,0,-9447,-0.046511359337812,0.03904274491053997,0
2,1,9573,0.995092609828066,0.0,0
2,2,-34749,-0.130769885059543,0.08226886423937434,0
2,3,-580,0.26827111170865303,0.06279938953538247,0
2,4,-51680,0.177958484072716,0.04539747882599235,0
2,5,-37117,-0.064445442122972,0.05623781143562182,0
2,6,-23866,1.2708162670045,0.0,0
2,7,-81819,-0.08844380294428697,0.03323582221792475,0
2,8,10512,0.522923480369354,0.03575661429164753,0
2,9,613101,0.7859117822613141,0.0,0
2,10,-11015,0.003974789157244,0.037372181562661616,0
2,11,612492,1.13157137714035,0.0,0
2,12,7876,-0.055265630439855,0.05081743678930273,0
2,13,-10780,-0.034041426750588,0.04780318835367764,0
2,14,-54623,0.001934236807641,0.00014945903549814423,0
2,15,24105,1.10307559524237,0.03507613216300909,0
3,0,624169,0.0,0.0,0
3,1,617597,0.128550668180574,-7.0316558149909895e-06,0
3,2,18420,0.192243186017652,0.015510227294015,0
3,3,-607961,0.0,0.0,0
3,4,17994,0.14427843041415805,0.011725031570558998,0
3,5,620557,0.0,0.0,0
3,6,-623499,0.0,0.0,0
3,7,9682,0.404246216013309,0.008690288867344,0
3,8,621069,0.704793471171556,-0.013137386752572,0
3,9,621738,0.0,0.0,0
3,10,18977,-0.135768126080716,0.010612359638238,0
3,11,-3026,-0.186022525638804,0.016835695983984,0
3,12,-622930,0.0,0.0,0
3,13,33234,0.402368214292026,0.009783735133696998,0
3,14,621302,0.0,0.0,0
3,15,28877,0.8896979467654409,0.008025872584879001,0
4,0,-496,-0.135003306731015,0.002628603664121,0
4,1,-23539,-0.178613686400147,0.0015067779900239998,0
4,2,-52005,0.033866164808687,0.002598481148365,0
4,3,9304,-0.057607350115696,0.001648325682727,0
4,4,1998,0.044000437710162,0.002282086424685,0
4,5,-633084,0.2679990934285,-0.049078031760285,0
4,6,-27100,-0.152625683709261,0.001514692023646,0
4,7,612577,0.937699108767558,-0.020449212296495,0
4,8,-6932,0.111943324565533,0.002077571388783,0
4,9,564675,0.166546798923949,0.013991224793193998,0
4,10,10467,-0.182801312016424,0.004355575580966,0
4,11,-7443,0.5712514974131949,-0.000218491344055,0
4,12,-20905,-0.068812268288412,0.00277804535973,0
4,13,-2391,1.07879958567607,-8.5091726487522e-06,0
4,14,-11699,-0.015479100756783003,0.001627688665718,0
4,15,-3767,-0.068649737662283,0.003501344840267,0
5,0,31512,-0.18212493169817606,1.5946553867057334,0
5,1,-61886,-0.154787320775204,0.001832783042514549,0
5,2,619655,1.10700126057154,-0.015201187583326968,0
5,3,46899,0.5715393854410921,0.0022753316535928485,0
5,4,-638312,1.07880011394282,0.005972491309572158,0
5,5,56024,-0.017792801572305002,0.00206637738223729,0
5,6,57870,-0.15715923699910905,0.002283723966995612,0
5,7,-644288,0.9777474328285848,1.3980761231247707,0
5,8,-643351,1.08430140165885,1.4987783074853942,0
5,9,38264,-0.034415157214945,0.0022490382964492272,0
5,10,-75210,-0.17868254443018206,0.0016785123528225887,0
5,11,105947,-0.115337178866292,1.5842954653317407,0
5,12,55422,-0.016897313854712,0.0021130596284472114,0
5,13,21180,-0.119357707140984,-7.176700471480412,0
5,14,22913,-0.047706602819457,0.0021159627444878033,0
5,15,623631,1.17740247747726,0.0,0
6,0,621977.1076175389,10.545534349661144,0
6,1,-641280.0289459208,15.676199605818411,0
6,2,-3526.0413587413545,746.5497935312115,0
6,3,-3603.5889230847256,618.2269094456358,0
6,4,619038.2241690771,-2.4574879568052768,0
6,5,85012.64423867443,225368.91867845925,0
6,6,25581.027231412645,817.812999611471,0
6,7,22929.668804388224,862.2993109066198,0
6,8,-24608.96844541398,444.51967706221353,0
6,9,-22485.303602815708,853.4740284341632,0
6,10,-4096.544660157993,373.9462347741687,0
6,11,619025.0260045482,-2.155173274747912,0
6,12,13938.861195962887,577.3715468210992,0
6,13,619074.6368449216,-1.8449889970639681,0
6,14,27428.66944400614,585.770735380114,0
6,15,23947.878841929647,396.19942724883924,0
7,0,-647131.660973964,-8.700161855909856,0
7,1,-28757.65675617869,778.1597251356178,0
7,2,-32267.130313059715,795.662020259159,0
7,3,-646204.0610063982,-0.8551020711820039,0
7,4,-647101.4450419582,3.8495307285210125,0
7,5,-31179.29378625161,1858.4040553447078,0
7,6,-40916.44018140991,853.4063085287182,0
7,7,-30636.52754632742,875.9706687431972,0
7,8,-98443.93799129197,6976.67127593651,0
7,9,-125143.80682037934,8402.719750763372,0
7,10,14469.642324101314,1034.7964282613918,0
7,11,-646084.0447158164,-14.534756851907467,0
7,12,-30005.001186002206,887.3058194559851,0
7,13,-44388.56935106821,788.9027318790419,0
7,14,-89218.36363330504,1279.1196604980405,0
7,15,-115971.79179447367,9996.857364847665,0
8,0,24924.088242016966,515.1373524746691,0
8,1,19459.038510652128,783.2965662184604,0
8,2,12034.03602563442,351.7051612016248,0
8,3,7706.258234006045,645.1140805116366,0
8,4,-10498.455392852133,697.6235508378951,0
8,5,-4019.8482800403417,324.86194218299664,0
8,6,-638645.3421303045,-1.3479749535574659,0
8,7,-29478.936630504813,633.6837359238981,0
8,8,12521.169225403208,354.3943287065205,0
8,9,20853.403915197396,843.5355761633909,0
8,10,-116273.02063732696,1568.4389519582398,0
8,11,617945.089448205,-11.032852526162241,0
8,12,619035.3863635845,-2.388579044061234,0
8,13,-15108.574512219737,415.09425334117725,0
8,14,-33729.883801076576,1005.512610401123,0
8,15,-38620.427973976184,467.9529983671994,0
